regiao,Faixa_Etaria,taxa,ano,previsto,previsao_lee_carter_2_1$lmt_inf,previsao_lee_carter_3_1$lmt_max
Piauí,75-79,Mulheres,2042,0.019659351303858666,0.015114759810632766,0.025570376144293434
Piauí,75-79,Mulheres,2043,0.019249215788928544,0.01468162638640642,0.02523782438925216
Piauí,75-79,Mulheres,2044,0.018847636565506063,0.014261054999366687,0.02490933553802133
Piauí,75-79,Mulheres,2045,0.01845443513131163,0.013852664908031326,0.024584885166632413
Piauí,75-79,Mulheres,2046,0.018069436707999483,0.013456088991564474,0.02426444586901014
Piauí,75-79,Mulheres,2047,0.017692470163468692,0.013070972967803192,0.02394798774783474
Piauí,75-79,Mulheres,2048,0.017323367935794698,0.012696974697967288,0.023635478826855027
Piauí,75-79,Mulheres,2049,0.01696196595874794,0.01233376356367319,0.023326885398801983
Piauí,75-79,Mulheres,2050,0.01660810358886635,0.011981019904734831,0.023022172320196984
Piauí,75-79,Mulheres,2051,0.01626162353404911,0.011638434508459276,0.022721303262129792
Piauí,75-79,Mulheres,2052,0.015922371783640227,0.01130570814288893,0.022424240924344314
Piauí,75-79,Mulheres,2053,0.01559019753997074,0.010982551127817913,0.02213094721859961
Piauí,75-79,Mulheres,2054,0.01526495315132893,0.010668682938503296,0.02184138342618671
Piauí,75-79,Mulheres,2055,0.014946494046329072,0.01036383183786591,0.02155551033361344
Piauí,75-79,Mulheres,2056,0.014634678669649383,0.010067734533678142,0.021273288349771817
Piauí,75-79,Mulheres,2057,0.01432936841911048,0.009780135857805095,0.0209946776073397
Piauí,75-79,Mulheres,2058,0.014030427584066654,0.009500788465027693,0.020719638050710424
Piauí,75-79,Mulheres,2059,0.013737723285082415,0.009229452549354913,0.020448129512371387
Piauí,75-79,Mulheres,2060,0.013451125414867399,0.008965895576042882,0.020180111779346258
Piauí,75-79,Mulheres,2061,0.01317050658044362,0.008709892027795771,0.01991554465106352
Piauí,75-79,Mulheres,2062,0.012895742046519224,0.008461223163835999,0.019654387989805674
Piauí,75-79,Mulheres,2063,0.012626709680043481,0.008219676790709464,0.01939660176472005
Piauí,75-79,Mulheres,2064,0.012363289895918587,0.007985047043839686,0.019142146090228025
Piauí,75-79,Mulheres,2065,0.012105365603844027,0.007757134178970272,0.018890981259548443
Piauí,75-79,Mulheres,2066,0.011852822156269774,0.007535744372740459,0.018643067773949584
Piauí,75-79,Mulheres,2067,0.011605547297435402,0.0073206895317282205,0.01839836636825846
Piauí,75-79,Mulheres,2068,0.011363431113472343,0.0071117871093715,0.018156838033083763
Piauí,75-79,Mulheres,2069,0.011126365983547017,0.006908859930243477,0.017918444034147524
Piauí,75-79,Mulheres,2070,0.010894246532023331,0.00671173602121355,0.017683145929068153
Piauí,80-84,Mulheres,2024,0.052113399625290845,0.04753551945096153,0.05713214985074343
Piauí,80-84,Mulheres,2025,0.0512403048363142,0.0464143865834817,0.056567996110344194
Piauí,80-84,Mulheres,2026,0.050381837657818174,0.045323751396331255,0.056004401391721734
Piauí,80-84,Mulheres,2027,0.04953775302249607,0.0442619780638098,0.055442370220780766
Piauí,80-84,Mulheres,2028,0.04870780996883733,0.043227696403929226,0.05488265508741571
Piauí,80-84,Mulheres,2029,0.047891771572339814,0.04221972944227767,0.05432582857910043
Piauí,80-84,Mulheres,2030,0.047089404877874996,0.04123704484426693,0.053772331652924374
Piauí,80-84,Mulheres,2031,0.04630048083318589,0.04027872134536807,0.05322250691631593
Piauí,80-84,Mulheres,2032,0.0455247742234995,0.03934392493373925,0.05267662216189656
Piauí,80-84,Mulheres,2033,0.044762063607234386,0.03843189156270294,0.052134887378860496
Piauí,80-84,Mulheres,2034,0.04401213125278576,0.03754191434763854,0.05159746728616905
Piauí,80-84,Mulheres,2035,0.043274763076369294,0.03667333391170779,0.0510644907230003
Piauí,80-84,Mulheres,2036,0.0425497485809066,0.03582553098642903,0.050536057790300036
Piauí,80-84,Mulheres,2037,0.041836880795934325,0.03499792065543844,0.05001224535496026
Piauí,80-84,Mulheres,2038,0.04113595621852027,0.03418994781468656,0.04949311134324495
Piauí,80-84,Mulheres,2039,0.04044677475516912,0.033401083546067176,0.048978698126337004
Piauí,80-84,Mulheres,2040,0.03976913966470169,0.03263082218591089,0.04846903521644744
Piauí,80-84,Mulheres,2041,0.03910285750209097,0.031878678928403965,0.047964141433303256
Piauí,80-84,Mulheres,2042,0.03844773806323934,0.031144187845352438,0.04746402665947363
Piauí,80-84,Mulheres,2043,0.037803594330680736,0.030426900233314246,0.04696869327339332
Piauí,80-84,Mulheres,2044,0.03717024242019271,0.02972638322059399,0.04647813732747424
Piauí,80-84,Mulheres,2045,0.03654750152830281,0.02904221858235902,0.045992349522933705
Piauí,80-84,Mulheres,2046,0.03593519388067449,0.028374001723841392,0.045511316021265034
Piauí,80-84,Mulheres,2047,0.035333144681357696,0.027721340800373678,0.045035019123495196
Piauí,80-84,Mulheres,2048,0.03474118206288981,0.02708385594966033,0.04456343784172259
Piauí,80-84,Mulheres,2049,0.03415913703723238,0.02646117861677468,0.04409654838234287
Piauí,80-84,Mulheres,2050,0.03358684344753013,0.025852950956293315,0.043634324556450416
Piauí,80-84,Mulheres,2051,0.03302413792067784,0.02525882529902826,0.04317673812985711
Piauí,80-84,Mulheres,2052,0.032470859820682305,0.024678463673204188,0.042723759122786004
Piauí,80-84,Mulheres,2053,0.03192685120280526,0.024111537371808964,0.042275356067417495
Piauí,80-84,Mulheres,2054,0.03139195676847491,0.02355772655933982,0.04183149622997466
Piauí,80-84,Mulheres,2055,0.03086602382095263,0.023016719912359866,0.041392145802843706
Piauí,80-84,Mulheres,2056,0.030348902221742594,0.022488214289237786,0.040957270071269425
Piauí,80-84,Mulheres,2057,0.029840444347731514,0.021971914425217728,0.04052683355839341
Piauí,80-84,Mulheres,2058,0.029340505049046662,0.021467532649594903,0.040100800151776056
Piauí,80-84,Mulheres,2059,0.028848941607619718,0.020974788622286022,0.03967913321403213
Piauí,80-84,Mulheres,2060,0.02836561369644503,0.0204934090875043,0.03926179567979021
Piauí,80-84,Mulheres,2061,0.02789038333952025,0.020023127642595884,0.03884875014084174
Piauí,80-84,Mulheres,2062,0.027423114872458316,0.01956368452038196,0.03843995892105919
Piauí,80-84,Mulheres,2063,0.02696367490375914,0.01911482638358932,0.038035384142426576
Piauí,80-84,Mulheres,2064,0.026511932276730314,0.018676306130151563,0.03763498778332727
Piauí,80-84,Mulheres,2065,0.026067758032045626,0.018247882708330217,0.03723873173006929
Piauí,80-84,Mulheres,2066,0.025631025370931013,0.017829320940745602,0.036846577822488645
Piauí,80-84,Mulheres,2067,0.02520160961896714,0.017420391356525674,0.03645848789435496
Piauí,80-84,Mulheres,2068,0.024779388190498578,0.017020870030882086,0.036074423809204045
Piauí,80-84,Mulheres,2069,0.024364240553639088,0.016630538431507528,0.03569434749213837
Piauí,80-84,Mulheres,2070,0.023956048195863378,0.016249183271262166,0.0353182209580649
Piauí,85-89,Mulheres,2024,0.09309667689933923,0.08609476593005717,0.10066803894607217
